Quel était le thème de la journée de réflexion du secteur de l’éducation permanente organisée le 21 octobre 2022 ?,"Actualités de l’action d’éducation permanente, entre urgences et émancipation."
En quelle année le cadre législatif belge a-t-il vu une réforme majeure du décret relatif à l’éducation permanente ?,En 2018.
Qui est l'Administrateur général de la Culture cité dans les actes de la journée de l'EP ?,Freddy Cabaraux.
Concept : Démocratie culturelle,"Modèle prônant la culture par chacun et avec chacun pour le développement de tous, plutôt que l'accès passif aux œuvres."
À quel intellectuel Patricia Hubert se réfère-t-elle pour définir l'ADN de l'éducation permanente ?,Marcel Hicter.
Quel événement historique majeur pour le secteur associatif a été célébré en 2021 ?,Les 100 ans de l'associatif (loi de 1921).
Quels sont les trois piliers des droits culturels selon Patricia Hubert ?,"La liberté artistique, l'accès à la culture et la participation à la culture."
Qui occupait le poste de ministre de la Culture de la Fédération Wallonie-Bruxelles lors de la journée d'octobre 2022 ?,Bénédicte Linard.
"Selon Bénédicte Linard, quelle est la fonction essentielle des politiques culturelles ?",La culture de la démocratie.
Terme : Population minorisée,"Groupe placé en position de soumission et d'isolement au sein d'un rapport de forces, indépendamment de son nombre."
Quelle est la différence entre une population 'minorisée' et une population 'minoritaire' ?,"La minorisation dépend d'un rapport de pouvoir, tandis que la minorité dépend du nombre d'individus."
L'enjeu de la _____ en éducation permanente souligne la tension entre le temps long des processus éducatifs et l'urgence des crises.,temporalité
Pourquoi le secteur de l'EP a-t-il ressenti une 'perte de lien' après la crise sanitaire ?,"À cause de l'isolement, de la distanciation sociale et du passage forcé au numérique."
Quel outil numérique est cité comme pouvant répondre à une certaine 'crise de la lecture' ?,Le podcast.
"Dans l'Atelier 4, comment l'éducation permanente est-elle définie par rapport au pouvoir ?",Comme un secteur de contre-pouvoir et un outil de transformation politique.
Quel risque l'institutionnalisation croissante des subventions fait-elle peser sur les petites associations ?,Une surcharge administrative chronophage qui pénalise le travail de terrain.
Qu'est-ce que la 'fracture numérique' ?,"L'exclusion d'une partie de la population due au manque d'équipement, d'accès ou de compétences technologiques."
"Selon Rachel Brahy, quel est le risque de répondre 'socialement' plutôt que 'culturellement' aux urgences ?",Le risque de produire des gestes de secours sans construction de récits ou de sens critique.
Quel philosophe Rachel Brahy cite-t-elle pour introduire la question de l'espace et du temps ?,Emmanuel Kant.
"Jean De Munck identifie trois nœuds du social et du culturel aujourd'hui : l'inclusion, la digitalisation et la _____.",transition (vers un développement durable)
"Selon Jean De Munck, quel est le quatrième moment de l'histoire de l'égalité culturelle ?",Le moment de la reconnaissance (des différences).
Quel terme Jennifer Neilz utilise-t-elle pour désigner les associations comme liens entre citoyens et État ?,Les corps intermédiaires.
Quel est le pourcentage estimé de l'économie souterraine dans le PIB mondial ?,"Environ $11,8\%$."
Combien de travailleurs sont touchés par l'économie informelle dans le monde selon les sources ?,Plus de $2$ milliards de personnes.
Définition : Économie informelle légale,"Activités licites mais non déclarées, comme le travail domestique ou l'agriculture de subsistance."
Quelles activités composent l'économie criminelle ?,"Les trafics illégaux (drogues, armes), la corruption, la cybercriminalité et la fraude fiscale."
Quel est le taux moyen d'emploi informel en Afrique subsaharienne ?,"Environ $85,8\%$ de la main-d'œuvre."
L'approche _____ (Multiple Indicators Multiple Causes) est utilisée par les économistes pour quantifier l'économie souterraine.,MIMIC
Pourquoi l'économie souterraine utilise-t-elle majoritairement des espèces ?,Pour échapper à la traçabilité des transactions et à la régulation étatique.
Quel montant représente la fraude TVA annuelle estimée en Europe par l'OCDE ?,Environ $500$ milliards d'euros.
"Les _____ sont surreprésentées dans l'économie informelle, avec $80\%$ des emplois féminins mondiaux créés dans ce secteur.",femmes
Quel pourcentage du PIB l'économie domestique non rémunérée peut-elle représenter ?,Entre $10\%$ et $40\%$ selon les méthodes de calcul.
Quel est le coût global projeté de la cybercriminalité économique pour 2024 ?,"$9,5$ trillions de dollars USD."
Quel pays a réduit ses charges sociales de $50\%$ en 2012 pour favoriser la formalisation de l'emploi ?,La Colombie.
Quel outil financier numérique au Kenya aide à l'inclusion financière des travailleurs informels ?,M-Pesa.
Quel est l'impact d'une augmentation de $1\%$ de l'économie souterraine sur les recettes fiscales en points de PIB ?,"Une réduction de $0,06\%$ à $0,18\%$ du PIB."
"Le modèle _____ (Suède, Danemark) maintient l'informalité sous les $20\%$ grâce à une protection sociale universelle.",nordique
Concept : Propagande par le fait,Stratégie anarchiste consistant en des actions spectaculaires pour éveiller les consciences et déclencher la révolution.
Qui est considéré comme l'un des premiers théoriciens de la propagande par le fait au XIXe siècle ?,Carlo Pisacane.
Quelle organisation a assassiné le tsar Alexandre II de Russie en 1881 ?,Narodnaïa Volia (Liberté du peuple).
En quelle année l'anarchiste Ravachol a-t-il mené une série d'attentats à Paris ?,En 1892.
Qui a assassiné le président français Sadi Carnot en 1894 ?,Sante Caserio.
