Comment appelle-t-on la coalition gouvernementale fédérale formée en février 2025 en Belgique ?,La coalition Arizona.
Qui occupe le poste de Premier ministre au sein du gouvernement Arizona en 2026 ?,Bart De Wever (N-VA).
Quels sont les cinq partis politiques qui composent la coalition Arizona ?,"N-VA, MR, Les Engagés, CD&V et Vooruit."
À quel montant s'élève l'effort budgétaire total projeté par le gouvernement Arizona d'ici 2029 ?,$23$ milliards d'euros.
Le gouvernement Arizona cherche à augmenter le _____ d'emploi pour financer la sécurité sociale.,taux.
Quel pourcentage de la population belge vivait en situation de risque de pauvreté ou d'exclusion sociale (AROPE) en 2024 ?,"$18,3$ %."
La réforme phare du chômage de la coalition Arizona limite les allocations à une durée de _____ mois.,$24$.
Combien de jours de négociations ont été nécessaires pour former le gouvernement fédéral Arizona ?,$239$ jours.
La période de chômage plafonnée à $24$ mois se décompose en une période de base de _____ mois.,$12$.
Quelle est la durée maximale de maintien des allocations d'insertion pour les jeunes sortant des études ?,$1$ an (ou $12$ mois).
À quelle date précise le nouveau régime de limitation des allocations de chômage s'applique-t-il pleinement ?,Le 1er mars 2026.
Quel organisme public belge (ONEM) a élaboré le calendrier des vagues d'exclusion du chômage ?,L'Office National de l'Emploi.
La Vague 1 d'exclusion du chômage (janvier 2026) cible les chômeurs de très longue durée ayant plus de _____ ans de chômage.,$20$.
Quelle catégorie de chômeurs est ciblée par la Vague 2 d'exclusion prévue le 1er mars 2026 ?,Les chômeurs ayant cumulé entre $8$ et $20$ ans de chômage.
À quelle date les chômeurs en 3e période d'indemnisation ayant moins de $8$ ans de chômage sont-ils exclus (Vague 3) ?,Le 1er avril 2026.
"La Vague 4 d'exclusion, prévue le 1er juillet 2026, concerne les demandeurs d'emploi en _____ période d'indemnisation.",deuxième (2e).
Quel âge doit avoir un demandeur d'emploi pour être théoriquement protégé de la limitation de durée des allocations ?,$55$ ans et plus.
"Pour être protégé après $55$ ans, un chômeur doit justifier d'un passé professionnel de _____ ans en 2026.",$31$ (ou $30$ initialement avec augmentation progressive).
"Les travailleurs des arts, les dockers et les pêcheurs de mer bénéficient d'une _____ à la limitation du chômage.",exemption (ou exception).
Le passage massif des exclus du chômage vers le CPAS est qualifié de « _____ ».,grand glissement.
"Selon les projections, combien de personnes devraient basculer immédiatement vers le RIS suite aux réformes ?",$30\ 122$ individus.
Le glissement vers le CPAS représente une augmentation nationale de _____ % des bénéficiaires du RIS.,"$12,7$ %."
